nombre|critica
Cliente1|La atención al momento de solicitar un credito bancario fue excelente, estoy muy satisfecho.
Cliente2|La atención  al momento de realizar un duplicado de tarjeta fue pésima, no volveré a este banco.
Cliente4|El servicio al solicitar una cotización fue regular, podrían mejorar.
Cliente5|Los agentes del banco me atendieron muy bien al realizar el bloqueo de cuenta bancaria. Volvere pronto.
Cliente6|Pienso que solo les interesa lucrar, la tasa de interés del préstamo fue muy alta, pésimo servicio.
Cliente7|Pienso que podria ahorrarme mucho tiempo si en lugar de venir al local, realizaba mi transferencia desde mi celular .
Cliente8|La tasa de interes que me propusieron es muy alta en la hipoteca. Soy un cliente puntual, deberian ofrecerme algo mejor.
Cliente9|Es la mejor entidad financiera que he vistado. El depósito de efectivo es muy rápido. Volvere mas seguido.
Cliente10|Muchas colas y pocos funcionarios atendiendo. No pude realizar mi apertura de cuenta.
Cliente11|La banca movil funciona muy mal, deberian renovarla. 
